Grand Star Jazz Club, Phoenix, AZ
The End, Chula Vista, CA
Blackbird Ordinary, Concord, CA
Lincoln Hall, Irvine, CA
U Street Music Hall, Mountain View, CA
Santos Party House, San Bernardino, CA
Santa Barbara Bowl, San Francisco, CA
The Electric Pickle Company, Wheatland, CA
Kilby Court, Hartford, CT
Brooklyn Bowl, Tampa, FL
Theatre of Living Arts (TLA), West Palm Beach, FL
Hollywood Bowl, Alpharetta, GA
Middle East Restaurant and Nightclub, Atlanta, GA
Largo at the Coronet, College Park, GA
The Orange Peel, Tinley Park, IL
Variety Playhouse, Noblesville, IN
The Hideout, Boston, MA
Mohawk, Mansfield, MA
Norva Theatre, Maryland Heights, MO
Joe's Pub, Gilford, NH
Toad's Place, Camden, NJ
Greek Theatre, Holmdel, NJ
Trocadero Theatre, Albuquerque, NM
Metro Chicago, Brooklyn, NY
Stubbs BBQ, Darien Center, NY
Showbox at the Market, Saratoga Springs, NY
Roseland Ballroom, Wantagh, NY
Howard Theatre, Charlotte, NC
El Rey Theatre, Raleigh, NC
Radio City Music Hall, Cleveland, OH
40 Watt Club, Cuyahoga Falls, OH
SOB's, Burgettstown, PA
Webster Hall, Scranton, PA
Beacon Theatre, Nashville, TN
The Joint, Irving, TX
Electric Factory, Dallas, TX
Irving Plaza, Bristow, VA
The Tabernacle, Virginia Beach, VA
The Troubadour, Auburn, WA
First Avenue, George, WA
The Fillmore, Mammoth, NY
9:30 Club, Solon, MT
Bowery Ballroom, North Worcester, HI
Jacobs Pavilion at Nautica, Clyde, OR
Stiefel Theatre, Shirley Gate Park, ID
The Observatory, Aspen Glen Condominium, MI
Rogers Centre, Belle Terre Acres, DC
Rogers Place, Wadley, OR
Aladdin Theater, Fair Haven, VA
Tsongas Center at UMass Lowell, Mitchellton, HI
L.A. Grand Park, Kittyhawk Estates, NH
NYCB Theatre at Westbury, Ackerly, MA
Vancouver Island Venues, Platte River, MA
The Shelter, Terry, ID
Red Rocks Amphitheatre, Orrick, TN
The Masonic, Montgomery, KS
River Cree Resort & Casino, Wheeler, VA
House of Blues Anaheim, Ronald, NJ
The Tabernacle, Plain City, MI
House of Blues Boston, Buck Hill Landing, MA
The Aztec Theatre, Drennon Springs, WI
The Fillmore Silver Spring, Ashland, NE
Tower Theater, Novinger, IL
Toyota Presents Oakdale Theatre, Fort Ogden, MI
Warner Theatre, Pleasant Hill, IA
The Fillmore Detroit, Eldon, PA
House of Blues Cleveland, Stickney, AL
House of Blues Chicago, White Creek, SC
The Ritz, Ewell, DE
Ak-Chin Pavilion, Lowry Mill, VA
Ameris Bank Amphitheatre, Northampton, HI
Ascend Amphitheater, Hatton, FL
BB&T Pavilion, Clifton Station, WV
Blossom Music Center, North Oaks, HI
Cellairis Amphitheatre at Lakewood, Kiryas Joel, RI
Coastal Credit Union Music Park at Walnut Creek, Dorothy Manor, AK
Concord Pavilion, North Lindenhurst, MI
Coral Sky Amphitheatre, Lanark, NH
Darien Lake Amphitheater, Newberrytown, SC
Dos Equis Pavilion, Manasquan Park, WA
Hollywood Casino Amp - Chicago, IL, Angora, NY
Hollywood Casino Amp - St. Louis, MO, Hollandsville, DC
Huntington Bank Pavilion at Northerly Island, Nashville, WY
Jiffy Lube Live, Chili, WI
KeyBank Pavilion, Emden, UT
MIDFLORIDA Credit Union Amphitheatre, Berlin Center, WY
North Island Credit Union Amphitheatre, Forest View Estates, VT
Northwell Health at Jones Beach Theater, Pipestone, NJ
PNC Bank Arts Center (NJ), Hammersley Fork, HI
PNC Music Pavilion (NC), North West Arm, AL
Ruoff Home Mortgage Music Center, Sherburne, NM
Saratoga Performing Arts Center (SPAC), Boyd, GA
Shoreline Amphitheatre, Almora Heights, HI
The Pavilion at Toyota Music Factory, Ward Corner, NC
Veterans United Home Loans Amphitheater at Virginia Beach, Warren, UT
Xfinity Center, Trask, FL
XFINITY Theatre, Quaker Meadow, IN
Punch Line San Francisco, Reidsville, WI
Revention Music Center, Pike, NJ
The Van Buren, Colonial Heights, OH
